manufacturer,made_in,fx,type,jacks_mounted_on,bypass,battery,voltage,polarity,circuit,tube_equipped,weight_in_kg,famous_users,width_in_cm,height_in_cm,depth_in_cm,gtin_14,additional_fx,based_on_famous_model,series,video,special_features,year,colour,serial_number,manufacturer_part_number,gtin_12,url,name
BOSS,Taiwan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.41,,7.3,5.9,12.9,04957054044220,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/boss-od-3-overdrive-effects-unit/,OD-3 OverDrive
BOSS,Taiwan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.45,"Orianthi, Brandon Small, Chris Payton",7.3,5.9,12.9,"00761294505984, 04957054505981",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/od-1x-overdrive/,OD-1X Overdrive
Behringer,China,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,.3,,8.6,6.1,15.6,04033653052313,Distortion,,Compact,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/behringer-od300-overdrive-distortion/,OD300 Overdrive Distortion
BOSS,Taiwan,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.42,,7.3,5.9,12.9,"00761294035474, 004957054035471",,,,,,,Yellow,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/odb-3-bass-overdrive/,ODB-3 Bass OverDrive
Pettyjohn,USA,Overdrive,Pedal,Top,True Bypass,No,,Center Negative,Analog,No,0.45,,6.3,6.3,12,,,BOSS OD-1,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/odi-classic-nos/,ODI Classic / NOS
Pettyjohn,USA,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.45,,6.3,6.3,12,,,BOSS OD-1,,,,,Yellow,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/odi-standard/,ODI Standard
BOSS,Taiwan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.40,,7.3,5.9,12.9,"00761294018293, 04957054018290",Distortion,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/os-2-overdrive-distortion/,OS-2 Overdrive/Distortion
Carl Martin,China,Auto Wah,Pedal,Top,True Bypass,No,9,Center Negative,Analog,,340,,6,5,11.5,00852940000967,,,Vintage Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/wahs-and-filters/ottawa/,Ottawa
Greedtone,,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.25,,11.5,3.3,9,,,,,,Pre-gain Bass Control,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/overdrive-2/,Overdrive 2
DOD,USA,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.28,Yngwie Malmsteen,6.6,5.7,11.8,,,,,,,1979,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/overdrive-preamp-250-1979/,Overdrive Preamp 250 (1979)
Ibanez,Japan,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,,No,0.83,,13.7,5.2,12,04515276655398,Boost,,,,"JRC4558D, Clean Boost",2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/overdrive-pro-ts808dx-boosted-ibanez-tube-screamer/,Overdrive Pro TS808DX
